EVER_ASSAULT,FEMALE,RACE_BLACK,RACE_HISPANIC,RACE_MIXED,BIOMOMAGE,NUMSIBS,FAM_ONE_PARENT,FAM_BIO_STEP,FAM_OTHER,PAR_ED_HS,PAR_ED_SOME_COL,PAR_ED_COL,POVRATIO97,ASVAB_SCORE,EARLY_DESTROY,EARLY_STEAL_UNDER,EARLY_STEAL_OVER,EARLY_OTHER_PROP,EARLY_GANG,EARLY_GUN,EARLY_RUNAWAY,EARLY_SMOKING,EARLY_ALCOHOL,EARLY_MARIJUANA,EARLY_HARD_DRUGS,EVER_ARR_BY17
0,0,0,0,0,34.0,3,0,0,0,0.0,1.0,0.0,2.309999942779541,66.55599975585938,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,0,26.0,1,0,1,0,0.0,1.0,0.0,6.769999980926514,82.20899963378906,4.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0
0,1,0,0,0,30.0,1,1,0,0,1.0,0.0,0.0,4.510000228881836,37.7599983215332,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
0,1,1,0,0,20.0,2,1,0,0,0.0,0.0,0.0,0.1599999964237213,7.11299991607666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,0,0,34.0,0,1,0,0,0.0,0.0,1.0,0.009999999776482582,86.03299713134766,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,36.0,0,1,0,0,1.0,0.0,0.0,0.009999999776482582,43.084999084472656,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0
0,1,0,0,0,21.0,1,0,0,0,0.0,1.0,0.0,0.2800000011920929,60.88800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,1,0,1,0,25.0,0,1,0,0,0.0,1.0,0.0,0.0,76.93599700927734,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0
0,1,0,1,0,23.0,2,0,0,0,0.0,0.0,1.0,4.170000076293945,51.50400161743164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
0,0,0,1,0,25.0,2,0,0,0,0.0,0.0,1.0,4.170000076293945,45.19900131225586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,1,0,22.0,2,0,0,0,1.0,0.0,0.0,1.3899999856948853,10.687000274658203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,24.0,1,0,0,0,0.0,1.0,0.0,1.559999942779541,86.41899871826172,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0
0,1,0,0,0,26.0,1,0,0,0,0.0,1.0,0.0,1.559999942779541,87.61100006103516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
0,0,0,1,0,29.0,1,0,0,0,0.0,1.0,0.0,2.359999895095825,56.494998931884766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,0,1,0,32.0,1,0,0,0,0.0,1.0,0.0,2.359999895095825,63.505001068115234,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,1,0,23.0,4,0,0,0,0.0,0.0,0.0,0.8100000023841858,10.621000289916992,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,1,0,26.0,2,0,1,0,1.0,0.0,0.0,3.799999952316284,36.45399856567383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,0,0,0,32.0,1,0,0,0,0.0,0.0,1.0,5.190000057220459,75.38200378417969,4.0,4.0,3.0,1.0,2.0,0.0,2.0,4.0,4.0,4.0,2.0,1.0
0,1,0,0,0,29.0,2,0,0,0,1.0,0.0,0.0,3.299999952316284,15.074000358581543,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
1,0,1,0,0,30.0,2,1,0,0,0.0,0.0,0.0,0.23000000417232513,53.768001556396484,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0
1,1,0,0,0,31.0,1,0,0,0,0.0,1.0,0.0,4.400000095367432,39.12200164794922,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0
0,1,1,0,0,24.0,1,0,0,0,0.0,1.0,0.0,1.5700000524520874,56.630001068115234,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0
